Kansas, .8823, 0.602,1,1.120,.943
Austin Peay, .5143, 0.484,16,1.03,1.072
Colorado, .6667, 0.561,8,1.029,.969
Connecticut, .7058, 0.560,9,1.059,.92
Maryland, .7575 ,0.578,5,1.088,.966
SouthDakotaSt, .7878, 0.511,12,1.08,.985
California, .6969 , 0.581,4,1.057,.95
Hawaii, .7812 , 0.485,13,1.052,.913
Arizona, .7575, 0.544,6,1.103,.944
Wichita ST, .75 , 0.535,11,1.055,.863
Miami, .7812, 0.590,3,1.11,.994
Buffalo, .5882, 0.540,14,1.024,1.018
Iowa, .6774, 0.571,7,1.09,.973
Temple, .6562, 0.544,10,1,.984
Villanova, .8529, 0.6012,2,1.134,.925
UNC Asheville, .6667, 0.481,15,1.01,.951
Oregon, .8235, 0.597,1,1.103,.971
Holy Cross, .4242, 0.461,16,.964,1.04
SaintJoe's, .7941, 0.561,8,1.07,.971
Cincinnati, .6875, 0.547,9,1.065,.92
Baylor, .6667, 0.591,5,1.102,1.01
Yale, .7857, 0.505,12,1.08,.933
Duke, .6969, 0.599,4,1.151,1.028
UNC Wilmington, .7812, 0.513,13,1.072,.992
Texas, .625, 0.593,6,1.04,.995
Northern Iowa, .6470, 0.539,11,1.041,.975
Texas A&M, .7647, 0.560,3,1.071,.931
Green Bay, .6571, 0.487,14,1.038,1.016
Oregon ST, .6129, 0.583,7,1.024,1.008
VCU, .7058, 0.556,10,1.075,.943
Oklamhoma, .7812, 0.600,2,1.088,.97
CSU Bakersfield, .75, 0.452,15,1.02,.91
North Carolina, .8235, 0.591,1,1.153,.976
Florida Golf Coast, .6060, 0.466,16,.952,1.033
USC, .6363, 0.563,8,1.068,.99
Providence, .6969, 0.563,9,1.016,.96
Indiana, .7812, 0.552,5,1.169,.989
Chattanooga, .8529, 0.482,12,1.075,.979
Kentucky, .7647, 0.577,4,1.127,.956
Stony Brook, .8125, 0.487,13,1.079,.949
Notre Dame, .6562, 0.584,6,1.128,1.06
Michigan, .6470, 0.559,11,1.104,1.017
West Virginia, .7647, 0.584,3,1.084,.921
Stephen F Austin, .8437, 0.478,14,1.126,.917
Wisconsin, .625, 0.585,7,1.027,.967
Pittsburg, .6562, 0.572,10,1.095,.997
Xavier, .84375, 0.569,2,1.086,.949
Weber State, .7647, 0.457,15,1.049,.973
Virgina, .7878, 0.604,1,1.131,.957
Hampton, .6774, 0.442,16,.989,.993
Texas Tech, .6129, 0.584,8,1.042,1.011
Butler, .6774, 0.551,9,1,.985
Purdue, .7647, 0.567,5,1.108,.927
Little Rock, .8787, 0.483,12,1.058,.924
Iowa State, .6562, 0.592,4,1.112,1.02
Iona, .6875, 0.501,13,1.072,1
Seton Hall, .7575, 0.566,6,1.020,.932
Gonzaga, .7878, 0.533,11,1.126,.944
Utah, .7647, 0.590,3,1.093,.996
Fresno State, .7352, 0.518,14,1.025,.983
Dayton, .7812, 0.553,5,1.023,.93
Syracuse, .5937, 0.581,12,1.041,.968
Michigan State, .8529, 0.557,2,1.155,.929
Middle Tennessee, .7272, 0.510,15,1.025,.977
